initial_mutation,diversity
0.0000,0.000000
0.0000,0.000000
0.0000,0.000000
0.0000,0.000000
0.0000,0.000000
0.0000,0.000000
0.0000,0.000000
0.0000,0.000000
0.0000,0.000000
0.0000,0.000000
0.0000,0.000000
0.0000,0.000000
0.0000,0.000000
0.0000,0.000000
0.0000,0.000000
0.0000,0.000000
0.0000,0.000000
0.0000,0.000000
0.0000,0.000000
0.0000,0.000000
0.0000,0.000000
0.0000,0.000000
0.0000,0.000000
0.0000,0.000000
0.0000,0.000000
0.0000,0.000000
0.0000,0.000000
0.0000,0.000000
0.0000,0.000000
0.0000,0.000000
0.0000,0.000000
0.0000,0.000000
0.0000,0.000000
0.0000,0.000000
0.0000,0.000000
0.0000,0.000000
0.0000,0.000000
0.0000,0.000000
0.0000,0.000000
0.0000,0.000000
0.0000,0.000000
0.0000,0.000000
0.0000,0.000000
0.0000,0.000000
0.0000,0.000000
0.0000,0.000000
0.0000,0.000000
0.0000,0.000000
0.0000,0.000000
0.0000,0.000000
0.0000,0.000000
0.0000,0.000000
0.0000,0.000000
0.0000,0.000000
0.0000,0.000000
0.0000,0.000000
0.0000,0.000000
0.0000,0.000000
0.0000,0.000000
0.0000,0.000000
0.0000,0.000000
0.0000,0.000000
0.0000,0.000000
0.0000,0.000000
0.0000,0.000000
0.0000,0.000000
0.0000,0.000000
0.0000,0.000000
0.0000,0.000000
0.0000,0.000000
0.0000,0.000000
0.0000,0.000000
0.0000,0.000000
0.0000,0.000000
0.0000,0.000000
0.0000,0.000000
0.0000,0.000000
0.0000,0.000000
0.0000,0.000000
0.0000,0.000000
0.0000,0.000000
0.0000,0.000000
0.0000,0.000000
0.0000,0.000000
0.0000,0.000000
0.0000,0.000000
0.0000,0.000000
0.0000,0.000000
0.0000,0.000000
0.0000,0.000000
0.0000,0.000000
0.0000,0.000000
0.0000,0.000000
0.0000,0.000000
0.0000,0.000000
0.0000,0.000000
0.0000,0.000000
0.0000,0.000000
0.0000,0.000000
0.0000,0.000000
0.0000,0.000000
0.0100,0.627305
0.0200,0.690376
0.0300,0.750968
0.0400,0.752562
0.0500,0.722770
0.0600,0.752853
0.0700,0.754939
0.0800,0.751861
0.0900,0.754796
0.1000,0.748695
0.0000,0.000000
0.0000,0.000000
0.0000,0.000000
0.0000,0.000000
0.0000,0.000000
0.0000,0.000000
0.0000,0.000000
0.0000,0.000000
0.0000,0.000000
0.0000,0.000000
0.0000,0.000000
0.0000,0.000000
0.0000,0.000000
0.0000,0.000000
0.0000,0.000000
0.0000,0.000000
0.0000,0.000000
0.0000,0.000000
0.0000,0.000000
0.0000,0.000000
0.0000,0.000000
0.0000,0.000000
0.0000,0.000000
0.0000,0.000000
0.0000,0.000000
0.0000,0.000000
0.0000,0.000000
0.0000,0.000000
0.0000,0.000000
0.0000,0.000000
0.0000,0.000000
0.0000,0.000000
0.0000,0.000000
0.0000,0.000000
0.0000,0.000000
0.0000,0.000000
0.0000,0.000000
0.0000,0.000000
0.0000,0.000000
0.0000,0.000000
0.0000,0.000000
0.0000,0.000000
0.0000,0.000000
0.0000,0.000000
0.0000,0.000000
0.0000,0.000000
0.0000,0.000000
0.0000,0.000000
0.0000,0.000000
0.0000,0.000000
0.0000,0.000000
0.0000,0.000000
0.0000,0.000000
0.0000,0.000000
0.0000,0.000000
0.0000,0.000000
0.0000,0.000000
0.0000,0.000000
0.0000,0.000000
0.0000,0.000000
0.0000,0.000000
0.0000,0.000000
0.0000,0.000000
0.0000,0.000000
0.0000,0.000000
0.0000,0.000000
0.0000,0.000000
0.0000,0.000000
0.0000,0.000000
0.0000,0.000000
0.0000,0.000000
0.0000,0.000000
0.0000,0.000000
0.0000,0.000000
0.0000,0.000000
0.0000,0.000000
0.0000,0.000000
0.0000,0.000000
0.0000,0.000000
0.0000,0.000000
0.0000,0.000000
0.0000,0.000000
0.0000,0.000000
0.0000,0.000000
0.0000,0.000000
0.0000,0.000000
0.0000,0.000000
0.0000,0.000000
0.0000,0.000000
0.0000,0.000000
0.0000,0.000000
0.0000,0.000000
0.0000,0.000000
0.0000,0.000000
0.0000,0.000000
0.0000,0.000000
0.0000,0.000000
0.0000,0.000000
0.0000,0.000000
0.0000,0.000000
0.0100,0.605216
0.0100,0.510319
0.0100,0.638319
0.0100,0.671135
0.0100,0.620764
0.0100,0.623537
0.0100,0.678180
0.0100,0.609580
0.0100,0.618311
0.0100,0.552727
0.0100,0.567424
0.0100,0.630006
0.0100,0.508198
0.0100,0.615172
0.0100,0.565917
0.0100,0.609495
0.0100,0.540808
0.0100,0.581762
0.0100,0.632659
0.0100,0.582424
0.0100,0.523954
0.0100,0.613131
0.0100,0.665626
0.0100,0.585657
0.0100,0.572121
0.0100,0.562808
0.0100,0.610101
0.0100,0.659404
0.0100,0.517077
0.0100,0.576176
0.0100,0.620808
0.0100,0.576780
0.0100,0.615152
0.0100,0.616364
0.0100,0.531596
0.0100,0.651515
0.0100,0.613065
0.0100,0.648727
0.0100,0.624915
0.0100,0.596768
0.0100,0.652865
0.0100,0.582828
0.0100,0.648558
0.0100,0.551919
0.0100,0.614347
0.0100,0.616364
0.0100,0.589697
0.0100,0.597246
0.0100,0.634109
0.0100,0.601414
0.0100,0.561422
0.0100,0.566273
0.0100,0.556705
0.0100,0.633737
0.0100,0.562642
0.0100,0.657980
0.0100,0.577111
0.0100,0.618659
0.0100,0.520198
0.0100,0.595386
0.0100,0.627313
0.0100,0.600982
0.0100,0.568954
0.0100,0.590832
0.0100,0.609495
0.0100,0.599370
0.0100,0.644525
0.0100,0.659434
0.0100,0.572842
0.0100,0.511335
0.0100,0.582081
0.0100,0.638994
0.0100,0.519394
0.0100,0.591778
0.0100,0.610707
0.0100,0.583721
0.0100,0.598495
0.0100,0.651616
0.0100,0.694164
0.0100,0.634190
0.0100,0.551313
0.0100,0.570707
0.0100,0.613749
0.0100,0.665117
0.0100,0.598731
0.0100,0.660590
0.0100,0.643927
0.0100,0.603040
0.0100,0.652576
0.0100,0.605253
0.0100,0.603786
0.0100,0.649293
0.0100,0.655341
0.0100,0.599976
0.0100,0.626261
0.0100,0.590101
0.0100,0.617747
0.0100,0.475303
0.0100,0.555679
0.0100,0.525051
0.0200,0.738283
0.0200,0.676261
0.0200,0.705685
0.0200,0.721616
0.0200,0.732473
0.0200,0.733873
0.0200,0.683939
0.0200,0.702022
0.0200,0.697497
0.0200,0.745030
0.0200,0.710634
0.0200,0.725602
0.0200,0.661216
0.0200,0.749790
0.0200,0.680315
0.0200,0.729620
0.0200,0.732929
0.0200,0.688081
0.0200,0.741414
0.0200,0.726368
0.0200,0.743984
0.0200,0.739127
0.0200,0.741147
0.0200,0.730929
0.0200,0.725354
0.0200,0.713055
0.0200,0.700143
0.0200,0.723240
0.0200,0.743883
0.0200,0.705489
0.0200,0.706024
0.0200,0.707600
0.0200,0.714301
0.0200,0.734372
0.0200,0.744404
0.0200,0.742457
0.0200,0.727610
0.0200,0.716566
0.0200,0.713851
0.0200,0.723232
0.0200,0.735816
0.0200,0.744040
0.0200,0.742622
0.0200,0.709430
0.0200,0.654224
0.0200,0.719527
0.0200,0.721564
0.0200,0.721259
0.0200,0.725774
0.0200,0.740646
0.0200,0.741677
0.0200,0.747307
0.0200,0.729871
0.0200,0.715289
0.0200,0.708360
0.0200,0.627677
0.0200,0.752073
0.0200,0.714998
0.0200,0.715053
0.0200,0.746467
0.0200,0.732287
0.0200,0.750570
0.0200,0.729091
0.0200,0.727677
0.0200,0.751956
0.0200,0.722186
0.0200,0.700380
0.0200,0.717576
0.0200,0.679758
0.0200,0.722323
0.0200,0.739457
0.0200,0.750834
0.0200,0.726374
0.0200,0.710707
0.0200,0.715998
0.0200,0.735792
0.0200,0.733588
0.0200,0.686349
0.0200,0.734384
0.0200,0.745281
0.0200,0.747923
0.0200,0.672717
0.0200,0.709281
0.0200,0.723030
0.0200,0.728394
0.0200,0.719996
0.0200,0.711022
0.0200,0.678440
0.0200,0.750210
0.0200,0.701968
0.0200,0.710101
0.0200,0.706554
0.0200,0.752994
0.0200,0.743204
0.0200,0.734749
0.0200,0.738198
0.0200,0.702354
0.0200,0.723022
0.0200,0.711079
0.0200,0.686113
0.0300,0.755208
0.0300,0.757321
0.0300,0.736840
0.0300,0.729501
0.0300,0.751432
0.0300,0.752057
0.0300,0.755323
0.0300,0.729354
0.0300,0.743352
0.0300,0.749927
0.0300,0.753139
0.0300,0.731384
0.0300,0.737592
0.0300,0.754808
0.0300,0.738784
0.0300,0.727483
0.0300,0.744537
0.0300,0.737168
0.0300,0.751461
0.0300,0.730707
0.0300,0.740889
0.0300,0.754275
0.0300,0.747855
0.0300,0.733758
0.0300,0.728929
0.0300,0.756091
0.0300,0.750853
0.0300,0.739412
0.0300,0.716113
0.0300,0.749978
0.0300,0.727261
0.0300,0.739311
0.0300,0.737341
0.0300,0.737994
0.0300,0.754133
0.0300,0.757222
0.0300,0.738388
0.0300,0.752925
0.0300,0.751962
0.0300,0.736768
0.0300,0.746869
0.0300,0.734994
0.0300,0.744857
0.0300,0.754533
0.0300,0.750408
0.0300,0.740693
0.0300,0.754998
0.0300,0.744648
0.0300,0.747869
0.0300,0.744547
0.0300,0.723356
0.0300,0.743378
0.0300,0.723919
0.0300,0.751248
0.0300,0.751622
0.0300,0.748549
0.0300,0.747733
0.0300,0.721893
0.0300,0.734071
0.0300,0.721776
0.0300,0.726467
0.0300,0.745329
0.0300,0.744848
0.0300,0.748384
0.0300,0.731515
0.0300,0.749236
0.0300,0.732042
0.0300,0.724277
0.0300,0.755564
0.0300,0.748026
0.0300,0.754788
0.0300,0.750996
0.0300,0.727257
0.0300,0.735679
0.0300,0.720329
0.0300,0.743990
0.0300,0.751974
0.0300,0.753673
0.0300,0.739665
0.0300,0.724030
0.0300,0.738921
0.0300,0.741125
0.0300,0.751473
0.0300,0.751416
0.0300,0.749739
0.0300,0.750424
0.0300,0.747343
0.0300,0.740927
0.0300,0.750701
0.0300,0.728988
0.0300,0.743576
0.0300,0.745430
0.0300,0.748465
0.0300,0.727642
0.0300,0.738289
0.0300,0.748836
0.0300,0.739127
0.0300,0.743756
0.0300,0.753770
0.0300,0.737507
0.0400,0.750297
0.0400,0.741491
0.0400,0.750869
0.0400,0.750741
0.0400,0.749313
0.0400,0.751234
0.0400,0.744824
0.0400,0.748176
0.0400,0.745778
0.0400,0.746044
0.0400,0.745970
0.0400,0.746279
0.0400,0.756186
0.0400,0.749968
0.0400,0.753780
0.0400,0.745036
0.0400,0.724481
0.0400,0.749626
0.0400,0.749422
0.0400,0.756333
0.0400,0.749949
0.0400,0.749960
0.0400,0.753630
0.0400,0.752432
0.0400,0.745626
0.0400,0.752111
0.0400,0.727333
0.0400,0.747010
0.0400,0.746634
0.0400,0.745273
0.0400,0.754275
0.0400,0.740529
0.0400,0.754107
0.0400,0.757309
0.0400,0.732966
0.0400,0.751596
0.0400,0.752822
0.0400,0.736190
0.0400,0.746315
0.0400,0.746133
0.0400,0.752446
0.0400,0.737705
0.0400,0.740812
0.0400,0.747859
0.0400,0.745747
0.0400,0.756162
0.0400,0.754768
0.0400,0.750149
0.0400,0.752358
0.0400,0.753232
0.0400,0.756055
0.0400,0.752871
0.0400,0.753747
0.0400,0.740354
0.0400,0.754325
0.0400,0.752485
0.0400,0.756566
0.0400,0.751739
0.0400,0.750921
0.0400,0.746877
0.0400,0.750459
0.0400,0.733766
0.0400,0.753123
0.0400,0.756352
0.0400,0.753737
0.0400,0.746111
0.0400,0.755923
0.0400,0.721758
0.0400,0.750984
0.0400,0.754990
0.0400,0.755832
0.0400,0.749232
0.0400,0.754285
0.0400,0.753778
0.0400,0.747515
0.0400,0.742244
0.0400,0.744091
0.0400,0.752024
0.0400,0.752451
0.0400,0.751723
0.0400,0.749903
0.0400,0.735917
0.0400,0.752778
0.0400,0.730418
0.0400,0.743675
0.0400,0.743798
0.0400,0.750113
0.0400,0.729667
0.0400,0.746299
0.0400,0.721899
0.0400,0.754206
0.0400,0.749473
0.0400,0.749234
0.0400,0.747372
0.0400,0.751614
0.0400,0.750111
0.0400,0.756366
0.0400,0.752535
0.0400,0.752491
0.0400,0.755170
0.0500,0.756428
0.0500,0.748923
0.0500,0.750253
0.0500,0.757133
0.0500,0.743135
0.0500,0.718552
0.0500,0.751341
0.0500,0.753182
0.0500,0.753693
0.0500,0.753921
0.0500,0.746339
0.0500,0.755743
0.0500,0.748707
0.0500,0.746271
0.0500,0.752097
0.0500,0.744438
0.0500,0.750521
0.0500,0.745554
0.0500,0.749677
0.0500,0.754840
0.0500,0.756436
0.0500,0.756794
0.0500,0.749897
0.0500,0.756697
0.0500,0.746537
0.0500,0.753119
0.0500,0.755137
0.0500,0.752176
0.0500,0.747253
0.0500,0.754467
0.0500,0.754511
0.0500,0.754265
0.0500,0.752665
0.0500,0.755646
0.0500,0.737517
0.0500,0.745291
0.0500,0.756111
0.0500,0.751679
0.0500,0.750339
0.0500,0.750091
0.0500,0.745792
0.0500,0.751461
0.0500,0.747000
0.0500,0.750887
0.0500,0.746747
0.0500,0.749610
0.0500,0.753495
0.0500,0.750547
0.0500,0.753816
0.0500,0.754921
0.0500,0.756004
0.0500,0.750739
0.0500,0.749061
0.0500,0.749354
0.0500,0.748396
0.0500,0.757014
0.0500,0.745380
0.0500,0.756004
0.0500,0.754218
0.0500,0.748519
0.0500,0.749822
0.0500,0.748059
0.0500,0.742723
0.0500,0.752073
0.0500,0.746822
0.0500,0.747206
0.0500,0.745614
0.0500,0.748412
0.0500,0.743046
0.0500,0.754857
0.0500,0.751240
0.0500,0.752188
0.0500,0.752592
0.0500,0.750717
0.0500,0.746921
0.0500,0.733800
0.0500,0.750382
0.0500,0.744065
0.0500,0.754616
0.0500,0.749255
0.0500,0.751949
0.0500,0.754719
0.0500,0.748111
0.0500,0.753307
0.0500,0.751509
0.0500,0.756703
0.0500,0.751764
0.0500,0.753208
0.0500,0.756491
0.0500,0.756380
0.0500,0.754172
0.0500,0.755501
0.0500,0.751261
0.0500,0.754618
0.0500,0.754164
0.0500,0.750368
0.0500,0.756073
0.0500,0.747956
0.0500,0.744182
0.0500,0.749549
0.0600,0.742582
0.0600,0.749978
0.0600,0.753917
0.0600,0.753885
0.0600,0.755469
0.0600,0.754240
0.0600,0.756020
0.0600,0.755244
0.0600,0.748857
0.0600,0.753394
0.0600,0.749964
0.0600,0.754240
0.0600,0.754289
0.0600,0.746697
0.0600,0.743412
0.0600,0.744042
0.0600,0.754685
0.0600,0.734685
0.0600,0.754263
0.0600,0.752521
0.0600,0.756673
0.0600,0.756875
0.0600,0.755539
0.0600,0.748844
0.0600,0.746281
0.0600,0.747669
0.0600,0.748471
0.0600,0.756760
0.0600,0.754426
0.0600,0.754788
0.0600,0.753053
0.0600,0.750406
0.0600,0.749895
0.0600,0.745135
0.0600,0.747453
0.0600,0.747949
0.0600,0.756533
0.0600,0.754147
0.0600,0.752634
0.0600,0.750679
0.0600,0.753028
0.0600,0.749242
0.0600,0.752919
0.0600,0.746402
0.0600,0.752727
0.0600,0.743479
0.0600,0.756446
0.0600,0.754935
0.0600,0.751218
0.0600,0.750018
0.0600,0.753123
0.0600,0.754547
0.0600,0.748303
0.0600,0.752327
0.0600,0.743242
0.0600,0.739188
0.0600,0.754414
0.0600,0.738422
0.0600,0.754321
0.0600,0.737582
0.0600,0.743051
0.0600,0.753333
0.0600,0.752814
0.0600,0.743640
0.0600,0.754721
0.0600,0.750743
0.0600,0.752455
0.0600,0.749543
0.0600,0.755420
0.0600,0.745832
0.0600,0.747848
0.0600,0.752267
0.0600,0.754067
0.0600,0.743547
0.0600,0.752796
0.0600,0.754743
0.0600,0.754566
0.0600,0.746321
0.0600,0.755016
0.0600,0.752337
0.0600,0.754677
0.0600,0.751806
0.0600,0.751503
0.0600,0.754586
0.0600,0.750903
0.0600,0.751091
0.0600,0.744440
0.0600,0.753469
0.0600,0.755707
0.0600,0.748489
0.0600,0.755889
0.0600,0.738851
0.0600,0.752907
0.0600,0.755549
0.0600,0.754792
0.0600,0.756731
0.0600,0.754214
0.0600,0.753685
0.0600,0.751366
0.0600,0.755889
0.0700,0.754994
0.0700,0.751170
0.0700,0.752933
0.0700,0.745626
0.0700,0.752004
0.0700,0.754994
0.0700,0.755222
0.0700,0.754121
0.0700,0.753921
0.0700,0.747644
0.0700,0.754727
0.0700,0.744168
0.0700,0.711568
0.0700,0.749307
0.0700,0.747152
0.0700,0.734044
0.0700,0.753156
0.0700,0.750911
0.0700,0.749257
0.0700,0.740834
0.0700,0.752828
0.0700,0.748034
0.0700,0.744170
0.0700,0.748796
0.0700,0.753337
0.0700,0.745242
0.0700,0.752808
0.0700,0.748424
0.0700,0.743077
0.0700,0.748768
0.0700,0.750416
0.0700,0.750212
0.0700,0.754202
0.0700,0.753168
0.0700,0.756780
0.0700,0.756804
0.0700,0.751204
0.0700,0.754701
0.0700,0.753174
0.0700,0.744194
0.0700,0.752909
0.0700,0.751309
0.0700,0.739824
0.0700,0.750859
0.0700,0.748057
0.0700,0.750030
0.0700,0.751996
0.0700,0.749036
0.0700,0.742089
0.0700,0.738224
0.0700,0.756400
0.0700,0.756618
0.0700,0.755784
0.0700,0.754832
0.0700,0.756073
0.0700,0.748717
0.0700,0.739725
0.0700,0.748683
0.0700,0.752778
0.0700,0.736123
0.0700,0.753236
0.0700,0.746356
0.0700,0.749592
0.0700,0.752475
0.0700,0.756382
0.0700,0.749978
0.0700,0.753487
0.0700,0.740691
0.0700,0.744277
0.0700,0.752230
0.0700,0.755388
0.0700,0.753461
0.0700,0.742451
0.0700,0.752952
0.0700,0.752699
0.0700,0.754790
0.0700,0.747303
0.0700,0.751921
0.0700,0.746899
0.0700,0.747240
0.0700,0.743949
0.0700,0.750024
0.0700,0.752782
0.0700,0.747378
0.0700,0.745446
0.0700,0.743592
0.0700,0.752745
0.0700,0.756624
0.0700,0.751471
0.0700,0.741190
0.0700,0.751537
0.0700,0.751204
0.0700,0.751259
0.0700,0.747737
0.0700,0.747925
0.0700,0.749192
0.0700,0.754705
0.0700,0.755432
0.0700,0.752711
0.0700,0.754323
0.0800,0.749048
0.0800,0.752465
0.0800,0.756418
0.0800,0.753885
0.0800,0.749418
0.0800,0.752246
0.0800,0.751200
0.0800,0.756246
0.0800,0.747277
0.0800,0.751475
0.0800,0.747420
0.0800,0.756576
0.0800,0.753230
0.0800,0.752479
0.0800,0.754337
0.0800,0.753810
0.0800,0.750879
0.0800,0.741560
0.0800,0.743281
0.0800,0.754994
0.0800,0.750673
0.0800,0.749782
0.0800,0.752380
0.0800,0.748422
0.0800,0.755327
0.0800,0.742156
0.0800,0.750669
0.0800,0.755677
0.0800,0.748624
0.0800,0.752152
0.0800,0.747028
0.0800,0.745572
0.0800,0.750931
0.0800,0.741592
0.0800,0.752764
0.0800,0.747863
0.0800,0.750287
0.0800,0.747220
0.0800,0.755990
0.0800,0.754410
0.0800,0.750022
0.0800,0.735838
0.0800,0.743913
0.0800,0.742240
0.0800,0.750194
0.0800,0.755614
0.0800,0.747709
0.0800,0.750562
0.0800,0.745451
0.0800,0.745976
0.0800,0.742867
0.0800,0.750640
0.0800,0.746442
0.0800,0.749842
0.0800,0.755432
0.0800,0.748529
0.0800,0.751145
0.0800,0.754547
0.0800,0.755679
0.0800,0.747356
0.0800,0.754949
0.0800,0.755572
0.0800,0.742400
0.0800,0.751475
0.0800,0.744358
0.0800,0.732610
0.0800,0.732032
0.0800,0.750636
0.0800,0.754992
0.0800,0.733653
0.0800,0.750410
0.0800,0.755299
0.0800,0.748267
0.0800,0.749772
0.0800,0.755174
0.0800,0.756279
0.0800,0.749899
0.0800,0.750515
0.0800,0.755362
0.0800,0.753566
0.0800,0.744794
0.0800,0.747887
0.0800,0.753919
0.0800,0.755307
0.0800,0.750859
0.0800,0.756430
0.0800,0.752152
0.0800,0.750966
0.0800,0.755083
