generation,avg(diversity),avg(p.max_fitness),max(p.max_fitness),COUNT(*)
2001,0.4174112759,28.643370689655164,54.996,116
2000,0.4177729224,28.643370689655164,54.996,116
1999,0.4187500690,28.643370689655164,54.996,116
1998,0.4137296983,28.643370689655164,54.996,116
1997,0.4175310948,28.643370689655164,54.996,116
1996,0.4198015431,28.643370689655164,54.996,116
1995,0.4141391034,28.643370689655164,54.996,116
1994,0.4161707414,28.643370689655164,54.996,116
1993,0.4128773362,28.643370689655164,54.996,116
1992,0.4079176638,28.583956896551715,54.996,116
1991,0.4107289310,28.583956896551715,54.996,116
1990,0.4046356466,28.583956896551715,54.996,116
1989,0.3980959569,28.583956896551715,54.996,116
1988,0.4059146121,28.583956896551715,54.996,116
1987,0.4018066379,28.583956896551715,54.996,116
1986,0.4100840345,28.583956896551715,54.996,116
1985,0.4172217155,28.583956896551715,54.996,116
1984,0.4117444310,28.583956896551715,54.996,116
1983,0.4136109569,28.583956896551715,54.996,116
1982,0.4067570345,28.583956896551715,54.996,116
1981,0.4099773103,28.583956896551715,54.996,116
1980,0.3998195517,28.57479310344827,54.996,116
1979,0.3979676207,28.57479310344827,54.996,116
1978,0.4016508276,28.57443965517241,54.996,116
1977,0.4055079397,28.574422413793098,54.996,116
1976,0.4138753276,28.574422413793098,54.996,116
1975,0.4172344397,28.574422413793098,54.996,116
1974,0.4241838017,28.574422413793098,54.996,116
1973,0.4188847414,28.574422413793098,54.996,116
1972,0.4148053017,28.574422413793098,54.996,116
1971,0.4191451983,28.574422413793098,54.996,116
1970,0.4206797672,28.574422413793098,54.996,116
1969,0.4197610862,28.574422413793098,54.996,116
1968,0.4171252241,28.574422413793098,54.996,116
1967,0.4166610948,28.574422413793098,54.996,116
1966,0.4189923448,28.574422413793098,54.996,116
1965,0.4213505690,28.574422413793098,54.996,116
1964,0.4207518017,28.574422413793098,54.996,116
1963,0.4115973966,28.574422413793098,54.996,116
1962,0.4096321638,28.574370689655165,54.996,116
1961,0.4126852845,28.574284482758614,54.996,116
1960,0.4083714310,28.574284482758614,54.996,116
1959,0.3996001724,28.574284482758614,54.996,116
1958,0.4114616983,28.574284482758614,54.996,116
1957,0.4166154052,28.574284482758614,54.996,116
1956,0.4180233707,28.574284482758614,54.996,116
1955,0.4101501724,28.574284482758614,54.996,116
1954,0.4146163621,28.574284482758614,54.996,116
1953,0.4140338362,28.574284482758614,54.996,116
1952,0.4005293707,28.574284482758614,54.996,116
1951,0.4021621552,28.574284482758614,54.996,116
1950,0.4028156810,28.574284482758614,54.996,116
1949,0.4050238793,28.574284482758614,54.996,116
1948,0.4101248534,28.574284482758614,54.996,116
1947,0.4158984397,28.574284482758614,54.996,116
1946,0.4162684655,28.574284482758614,54.996,116
1945,0.4128598879,28.574284482758614,54.996,116
1944,0.4149762241,28.574284482758614,54.996,116
1943,0.4154187500,28.574284482758614,54.996,116
1942,0.4160193879,28.574284482758614,54.996,116
1941,0.4138735345,28.574284482758614,54.996,116
1940,0.4163731552,28.574284482758614,54.996,116
1939,0.4143281638,28.574284482758614,54.996,116
1938,0.4192666121,28.574284482758614,54.996,116
1937,0.4219813190,28.574284482758614,54.996,116
1936,0.4236036983,28.574284482758614,54.996,116
1935,0.4187994569,28.574284482758614,54.996,116
1934,0.4185950345,28.574284482758614,54.996,116
1933,0.4222983190,28.574284482758614,54.996,116
1932,0.4241044741,28.574284482758614,54.996,116
1931,0.4259953966,28.574284482758614,54.996,116
1930,0.4222246983,28.574284482758614,54.996,116
1929,0.4235495000,28.574284482758614,54.996,116
1928,0.4156773621,28.574284482758614,54.996,116
1927,0.4163077586,28.574284482758614,54.996,116
1926,0.4088316466,28.574284482758614,54.996,116
1925,0.4111443276,28.574284482758614,54.996,116
1924,0.4179570862,28.574284482758614,54.996,116
1923,0.4214236897,28.574284482758614,54.996,116
1922,0.4229946897,28.57404310344827,54.996,116
1921,0.4288574224,28.57404310344827,54.996,116
1920,0.4288831724,28.57404310344827,54.996,116
1919,0.4139248190,28.57404310344827,54.996,116
1918,0.4139361724,28.57404310344827,54.996,116
1917,0.4196177414,28.57404310344827,54.996,116
1916,0.4212638190,28.57404310344827,54.996,116
1915,0.4265940862,28.520284482758612,54.996,116
1914,0.4284781466,28.520284482758612,54.996,116
1913,0.4199289483,28.520284482758612,54.996,116
1912,0.4210108103,28.520284482758612,54.996,116
1911,0.4098721293,28.520284482758612,54.996,116
1910,0.4085345086,28.520284482758612,54.996,116
1909,0.4129625862,28.520284482758612,54.996,116
1908,0.4020224872,28.513102564102557,54.996,117
1907,0.4063072393,28.513102564102557,54.996,117
1906,0.4057675726,28.513102564102557,54.996,117
1905,0.3954473333,28.513102564102557,54.996,117
1904,0.4062042650,28.513102564102557,54.996,117
1903,0.4078481453,28.513102564102557,54.996,117
1902,0.4109633761,28.513102564102557,54.996,117
1901,0.4094119316,28.513102564102557,54.996,117
1900,0.4138623162,28.513102564102557,54.996,117
1899,0.4208584017,28.513102564102557,54.996,117
1898,0.4279119487,28.513102564102557,54.996,117
1897,0.4264845470,28.51289743589743,54.996,117
1896,0.4252819744,28.51289743589743,54.996,117
1895,0.4248320427,28.504222222222214,54.996,117
1894,0.4255553162,28.504222222222214,54.996,117
1893,0.4188452821,28.504222222222214,54.996,117
1892,0.4220490256,28.504222222222214,54.996,117
1891,0.4179164188,28.504222222222214,54.996,117
1890,0.4255517350,28.504222222222214,54.996,117
1889,0.4273540598,28.503384615384608,54.996,117
1888,0.4170478034,28.503384615384608,54.996,117
1887,0.4098529487,28.503384615384608,54.996,117
1886,0.4198582119,28.20299999999999,54.996,118
1885,0.4212868559,28.20299999999999,54.996,118
1884,0.4214945254,28.20299999999999,54.996,118
1883,0.4224398220,28.150262711864396,54.996,118
1882,0.4282347203,28.133245762711855,54.996,118
1881,0.4259910932,28.133245762711855,54.996,118
1880,0.4142613051,28.133245762711855,54.996,118
1879,0.4160248644,28.133245762711855,54.996,118
1878,0.4105820085,28.133245762711855,54.996,118
1877,0.4031471780,28.133245762711855,54.996,118
1876,0.4049949407,28.133245762711855,54.996,118
1875,0.4097451441,28.133245762711855,54.996,118
1874,0.4002880847,28.133245762711855,54.996,118
1873,0.4051167288,28.133245762711855,54.996,118
1872,0.4006869832,28.238672268907553,54.996,119
1871,0.3970069748,28.238672268907553,54.996,119
1870,0.3995611849,28.238672268907553,54.996,119
1869,0.4055963613,28.238672268907553,54.996,119
1868,0.4044674202,28.238672268907553,54.996,119
1867,0.4051697479,28.238672268907553,54.996,119
1866,0.4137722941,28.238672268907553,54.996,119
1865,0.4095385294,28.238672268907553,54.996,119
1864,0.4136433277,28.238672268907553,54.996,119
1863,0.4119215546,28.238672268907553,54.996,119
1862,0.4126550924,28.238672268907553,54.996,119
1861,0.4118175210,28.238638655462175,54.996,119
1860,0.4138029748,28.238638655462175,54.996,119
1859,0.4093431597,28.238638655462175,54.996,119
1858,0.4090308151,28.238638655462175,54.996,119
1857,0.4064032101,28.238638655462175,54.996,119
1856,0.4079201597,28.238638655462175,54.996,119
1855,0.4123259076,28.238638655462175,54.996,119
1854,0.4070075210,28.238638655462175,54.996,119
1853,0.4046722185,28.238638655462175,54.996,119
1852,0.4126217227,28.238638655462175,54.996,119
1851,0.4010969580,28.212378151260495,54.996,119
1850,0.4084966807,28.212378151260495,54.996,119
1849,0.4080469916,28.212378151260495,54.996,119
1848,0.4157009160,28.21232773109243,54.996,119
1847,0.4174942941,28.21232773109243,54.996,119
1846,0.4272846891,28.21232773109243,54.996,119
1845,0.4171956639,28.21232773109243,54.996,119
1844,0.4177500504,28.21232773109243,54.996,119
1843,0.4125225294,28.21232773109243,54.996,119
1842,0.4111582017,28.21232773109243,54.996,119
1841,0.4117340000,28.21232773109243,54.996,119
1840,0.4122365042,28.21232773109243,54.996,119
1839,0.4178736975,28.21232773109243,54.996,119
1838,0.4240160252,28.21232773109243,54.996,119
1837,0.4285879832,28.21232773109243,54.996,119
1836,0.4240157731,28.21232773109243,54.996,119
1835,0.4231868067,28.21232773109243,54.996,119
1834,0.4210785714,28.21232773109243,54.996,119
1833,0.4191295966,28.21232773109243,54.996,119
1832,0.4119453361,28.21232773109243,54.996,119
1831,0.4155669580,28.21232773109243,54.996,119
1830,0.4151569832,28.21232773109243,54.996,119
1829,0.4037929916,28.21232773109243,54.996,119
1828,0.4120096218,28.21232773109243,54.996,119
1827,0.4049604790,28.21232773109243,54.996,119
1826,0.4103853866,28.21232773109243,54.996,119
1825,0.4020886975,28.21232773109243,54.996,119
1824,0.4080577815,28.19501680672268,54.996,119
1823,0.4119391513,28.19499999999999,54.994,119
1822,0.4061060504,28.19499999999999,54.994,119
1821,0.4085244202,28.19499999999999,54.994,119
1820,0.4156408571,28.19499999999999,54.994,119
1819,0.4142375210,28.19499999999999,54.994,119
1818,0.4122520504,28.19499999999999,54.994,119
1817,0.4146584706,28.19499999999999,54.994,119
1816,0.4199168824,28.19499999999999,54.994,119
1815,0.4249400840,28.19499999999999,54.994,119
1814,0.4274849748,28.160361344537804,54.994,119
1813,0.4229663277,28.160361344537804,54.994,119
1812,0.4176271597,28.160361344537804,54.994,119
1811,0.4163844706,28.160361344537804,54.994,119
1810,0.4130557227,28.160277310924357,54.994,119
1809,0.4095456050,28.160277310924357,54.994,119
1808,0.4150749160,28.160277310924357,54.994,119
1807,0.4189288487,28.160277310924357,54.994,119
1806,0.4163735630,28.16026050420167,54.994,119
1805,0.4063264034,28.159957983193266,54.994,119
1804,0.4084511681,28.14287394957982,52.961,119
1803,0.3985485546,28.14287394957982,52.961,119
1802,0.3971068571,28.126109243697467,50.966,119
1801,0.4069109664,28.126109243697467,50.966,119
1800,0.4063335882,28.126109243697467,50.966,119
1799,0.4068317563,28.084378151260495,50.804,119
1798,0.4102792185,28.084378151260495,50.804,119
1797,0.4072466807,28.084378151260495,50.804,119
1796,0.4127797311,28.084378151260495,50.804,119
1795,0.4076078824,28.084294117647048,50.804,119
1794,0.4148794538,28.084294117647048,50.804,119
1793,0.4142854958,28.084294117647048,50.804,119
1792,0.4192335042,28.084294117647048,50.804,119
1791,0.4127107731,28.084294117647048,50.804,119
1790,0.4101674250,28.16584999999999,50.804,120
1789,0.4058981583,28.16584999999999,50.804,120
1788,0.4167566083,28.16584999999999,50.804,120
1787,0.4243548583,28.16584999999999,50.804,120
1786,0.4143254333,28.16584999999999,50.804,120
1785,0.4235489750,28.16584999999999,50.804,120
1784,0.4123177667,28.16584999999999,50.804,120
1783,0.4106558167,28.16584999999999,50.804,120
1782,0.4076716917,28.14897499999999,50.804,120
1781,0.4125189333,28.14897499999999,50.804,120
1780,0.4065374750,28.14897499999999,50.804,120
1779,0.4114210000,28.14897499999999,50.804,120
1778,0.4170769500,28.14897499999999,50.804,120
1777,0.4179806417,28.14887499999999,50.804,120
1776,0.4044488500,28.14887499999999,50.804,120
1775,0.4110057667,28.14887499999999,50.804,120
1774,0.4076933500,28.14887499999999,50.804,120
1773,0.4154609333,28.14887499999999,50.804,120
1772,0.4091279250,28.140658333333324,50.804,120
1771,0.4091596250,28.131708333333325,50.804,120
1770,0.4047323833,28.131708333333325,50.804,120
1769,0.4059082667,28.11487499999999,50.804,120
1768,0.4108608500,28.11487499999999,50.804,120
1767,0.4168793167,28.11487499999999,50.804,120
1766,0.4193857417,28.11487499999999,50.804,120
1765,0.4249958583,28.11487499999999,50.804,120
1764,0.4188266667,28.11487499999999,50.804,120
1763,0.4188851583,28.071216666666658,50.804,120
1762,0.4199082583,28.071216666666658,50.804,120
1761,0.4208512500,28.071216666666658,50.804,120
1760,0.4188804083,28.071216666666658,50.804,120
1759,0.4091249583,28.071216666666658,50.804,120
1758,0.4124643167,28.071216666666658,50.804,120
1757,0.4192170500,28.071216666666658,50.804,120
1756,0.4151108833,28.071216666666658,50.804,120
1755,0.4091198083,28.071216666666658,50.804,120
1754,0.4144925333,28.071149999999992,50.804,120
1753,0.4107420250,28.071149999999992,50.804,120
1752,0.4102895000,28.071149999999992,50.804,120
1751,0.4146505333,28.071149999999992,50.804,120
1750,0.4057267917,28.071149999999992,50.804,120
1749,0.4074196000,28.071149999999992,50.804,120
1748,0.4080640000,28.071149999999992,50.804,120
1747,0.4144945083,28.071149999999992,50.804,120
1746,0.4114209667,28.071149999999992,50.804,120
1745,0.4107374500,28.071149999999992,50.804,120
1744,0.4071088500,28.071149999999992,50.804,120
1743,0.4059602333,28.071149999999992,50.804,120
1742,0.4154719417,28.071149999999992,50.804,120
1741,0.4153485833,28.071149999999992,50.804,120
1740,0.4151666917,28.071149999999992,50.804,120
1739,0.4134032917,28.071149999999992,50.804,120
1738,0.4116565583,28.071149999999992,50.804,120
1737,0.3930151667,28.071149999999992,50.804,120
1736,0.3959380583,28.071149999999992,50.804,120
1735,0.4030682250,28.071149999999992,50.804,120
1734,0.4131761667,28.071149999999992,50.804,120
1733,0.4120422333,28.071149999999992,50.804,120
1732,0.4113137750,28.071149999999992,50.804,120
1731,0.4219904083,28.071149999999992,50.804,120
1730,0.4213356583,28.071149999999992,50.804,120
1729,0.4245845167,28.071149999999992,50.804,120
1728,0.4228124833,28.071149999999992,50.804,120
1727,0.4187098667,28.071149999999992,50.804,120
1726,0.4176383833,28.071149999999992,50.804,120
1725,0.4206803917,28.071149999999992,50.804,120
1724,0.4206804583,28.071149999999992,50.804,120
1723,0.4233440583,28.06202499999999,50.804,120
1722,0.4241045833,28.06202499999999,50.804,120
1721,0.4178113000,28.06202499999999,50.804,120
1720,0.4119360917,28.06202499999999,50.804,120
1719,0.4039659583,28.06202499999999,50.804,120
1718,0.4038512000,28.06202499999999,50.804,120
1717,0.4054887417,28.06202499999999,50.804,120
1716,0.4059130417,28.06202499999999,50.804,120
1715,0.4069295083,28.06202499999999,50.804,120
1714,0.4120605583,28.06202499999999,50.804,120
1713,0.4054325083,28.06202499999999,50.804,120
1712,0.4151093250,28.06199999999999,50.804,120
1711,0.4008454000,28.06199999999999,50.804,120
1710,0.4016848083,28.06199999999999,50.804,120
1709,0.4055958833,28.061833333333322,50.804,120
1708,0.4151968167,28.061833333333322,50.804,120
1707,0.4165368917,28.061833333333322,50.804,120
1706,0.4173883583,28.061833333333322,50.804,120
1705,0.4166317833,28.061833333333322,50.804,120
1704,0.4078547083,28.061833333333322,50.804,120
1703,0.4047846667,28.061833333333322,50.804,120
1702,0.4044376333,28.061833333333322,50.804,120
1701,0.4008185667,28.061833333333322,50.804,120
1700,0.4073199000,28.061833333333322,50.804,120
1699,0.4118057167,28.061833333333322,50.804,120
1698,0.4020766667,28.061833333333322,50.804,120
1697,0.4144867667,28.061833333333322,50.804,120
1696,0.4105492583,28.061833333333322,50.804,120
1695,0.4163831833,28.061833333333322,50.804,120
1694,0.4181013500,28.061699999999988,50.804,120
1693,0.4190856083,28.061699999999988,50.804,120
1692,0.4178520333,28.061699999999988,50.804,120
1691,0.4217219917,28.061699999999988,50.804,120
1690,0.4292839417,28.061699999999988,50.804,120
1689,0.4147760417,28.061699999999988,50.804,120
1688,0.4146371250,28.061699999999988,50.804,120
1687,0.4158325083,28.061699999999988,50.804,120
1686,0.4101295917,28.061699999999988,50.804,120
1685,0.4098949833,28.061558333333323,50.804,120
1684,0.4108224793,27.990099173553713,50.804,121
1683,0.4081128595,27.990099173553713,50.804,121
1682,0.4074618595,27.990099173553713,50.804,121
1681,0.4085911157,27.990099173553713,50.804,121
1680,0.4151496364,27.990099173553713,50.804,121
1679,0.4179986364,27.990099173553713,50.804,121
1678,0.4142372975,27.990099173553713,50.804,121
1677,0.4064048430,27.990099173553713,50.804,121
1676,0.4136250248,27.990099173553713,50.804,121
1675,0.4140617273,27.990099173553713,50.804,121
1674,0.4157673306,27.990099173553713,50.804,121
1673,0.4128970083,27.982173553719,50.804,121
1672,0.4118870248,27.982173553719,50.804,121
1671,0.4128655455,27.982173553719,50.804,121
1670,0.4083241240,27.982173553719,50.804,121
1669,0.4062177521,27.982173553719,50.804,121
1668,0.4111930331,27.982173553719,50.804,121
1667,0.4059822479,27.982173553719,50.804,121
1666,0.4105457355,27.982173553719,50.804,121
1665,0.4128115289,27.982173553719,50.804,121
1664,0.4119501983,27.940537190082637,50.804,121
1663,0.4214198182,27.940537190082637,50.804,121
1662,0.4130595950,27.940537190082637,50.804,121
1661,0.4186266612,27.940537190082637,50.804,121
1660,0.4238130083,27.940537190082637,50.804,121
1659,0.4142232459,27.9059344262295,50.804,122
1658,0.4058506148,27.9059344262295,50.804,122
1657,0.3952947705,27.9059344262295,50.804,122
1656,0.4017088525,27.9059344262295,50.804,122
1655,0.4096177213,27.9059344262295,50.804,122
1654,0.4096318525,27.9059344262295,50.804,122
1653,0.4152961639,27.9059344262295,50.804,122
1652,0.4142008115,27.9059344262295,50.804,122
1651,0.4147061639,27.9059344262295,50.804,122
1650,0.4172002541,27.9059344262295,50.804,122
1649,0.4268326230,27.807393442622942,50.804,122
1648,0.4231851475,27.807393442622942,50.804,122
1647,0.4198670246,27.807393442622942,50.804,122
1646,0.4130537131,27.807393442622942,50.804,122
1645,0.4131564754,27.807393442622942,50.804,122
1644,0.4145680656,27.807393442622942,50.804,122
1643,0.4211783689,27.807393442622942,50.804,122
1642,0.4088253525,27.80732786885245,50.804,122
1641,0.4002762049,27.80732786885245,50.804,122
1640,0.4055076311,27.80732786885245,50.804,122
1639,0.4043441475,27.80732786885245,50.804,122
1638,0.4122807213,27.80732786885245,50.804,122
1637,0.4151908607,27.80732786885245,50.804,122
1636,0.4174225328,27.80732786885245,50.804,122
1635,0.4168066148,27.80732786885245,50.804,122
1634,0.4046680984,27.80732786885245,50.804,122
1633,0.4126597459,27.80732786885245,50.804,122
1632,0.4139234098,27.80732786885245,50.804,122
1631,0.4088652377,27.807295081967204,50.804,122
1630,0.4090275574,27.807295081967204,50.804,122
1629,0.4125337049,27.807295081967204,50.804,122
1628,0.4128005984,27.807295081967204,50.804,122
1627,0.4149492705,27.807295081967204,50.804,122
1626,0.4198411557,27.807295081967204,50.804,122
1625,0.4249352541,27.807295081967204,50.804,122
1624,0.4190823770,27.807295081967204,50.804,122
1623,0.4170738607,27.807295081967204,50.804,122
1622,0.4135948361,27.807295081967204,50.804,122
1621,0.4177977131,27.807040983606548,50.804,122
1620,0.4184871967,27.807040983606548,50.804,122
1619,0.4169074508,27.807040983606548,50.804,122
1618,0.4083713607,27.807016393442616,50.804,122
1617,0.4129435656,27.807016393442616,50.804,122
1616,0.4097284016,27.807016393442616,50.804,122
1615,0.4130971148,27.807016393442616,50.804,122
1614,0.4160682951,27.807016393442616,50.804,122
1613,0.4183264098,27.807016393442616,50.804,122
1612,0.4120425410,27.807016393442616,50.804,122
1611,0.4158075492,27.698065573770485,50.804,122
1610,0.4078108443,27.698065573770485,50.804,122
1609,0.4127370656,27.698065573770485,50.804,122
1608,0.4163934426,27.698065573770485,50.804,122
1607,0.4159088279,27.698065573770485,50.804,122
1606,0.4225583770,27.698065573770485,50.804,122
1605,0.4122654918,27.698065573770485,50.804,122
1604,0.4107626803,27.698065573770485,50.804,122
1603,0.4083026885,27.698065573770485,50.804,122
1602,0.3922875082,27.698065573770485,50.804,122
1601,0.3912383934,27.698065573770485,50.804,122
1600,0.3905999098,27.698065573770485,50.804,122
1599,0.3875114180,27.698065573770485,50.804,122
1598,0.4041339344,27.698065573770485,50.804,122
1597,0.4001151393,27.698065573770485,50.804,122
1596,0.4066362213,27.698065573770485,50.804,122
1595,0.4109912377,27.697836065573764,50.804,122
1594,0.4145747295,27.697836065573764,50.804,122
1593,0.4158630410,27.697672131147534,50.804,122
1592,0.4177517131,27.697672131147534,50.804,122
1591,0.4174570164,27.697672131147534,50.804,122
1590,0.4235277295,27.697672131147534,50.804,122
1589,0.4200271393,27.697524590163926,50.804,122
1588,0.4258424426,27.697524590163926,50.804,122
1587,0.4199384098,27.697524590163926,50.804,122
1586,0.4235584098,27.697524590163926,50.804,122
1585,0.4163476803,27.697524590163926,50.804,122
1584,0.4057528770,27.69747540983606,50.804,122
1583,0.4143211148,27.69747540983606,50.804,122
1582,0.4114062213,27.69747540983606,50.804,122
1581,0.4070513607,27.69747540983606,50.804,122
1580,0.4150625820,27.69747540983606,50.804,122
1579,0.4105316721,27.69747540983606,50.804,122
1578,0.4058610410,27.697459016393438,50.804,122
1577,0.4065821475,27.696442622950816,50.804,122
1576,0.4116738197,27.696442622950816,50.804,122
1575,0.4151794016,27.69642622950819,50.804,122
1574,0.4182097541,27.69642622950819,50.804,122
1573,0.4176381066,27.69640983606557,50.804,122
1572,0.4141891230,27.69640983606557,50.804,122
1571,0.4194966475,27.69626229508196,50.804,122
1570,0.4104193934,27.69626229508196,50.804,122
1569,0.4080228361,27.695950819672127,50.804,122
1568,0.4142103770,27.695885245901632,50.804,122
1567,0.4131776803,27.695885245901632,50.804,122
1566,0.4158895000,27.695442622950814,50.804,122
1565,0.4204605738,27.69506557377048,50.804,122
1564,0.4238322541,27.69506557377048,50.804,122
1563,0.4204983607,27.69506557377048,50.804,122
1562,0.4204988852,27.69506557377048,50.804,122
1561,0.4220263607,27.69503278688524,50.804,122
1560,0.4205869508,27.695024590163925,50.804,122
1559,0.4148546557,27.68684426229507,50.804,122
1558,0.4168551066,27.68684426229507,50.804,122
1557,0.4114292295,27.68684426229507,50.804,122
1556,0.4091403934,27.68672950819671,50.804,122
1555,0.4072843443,27.68672950819671,50.804,122
1554,0.4136930410,27.686598360655726,50.804,122
1553,0.4132007213,27.686598360655726,50.804,122
1552,0.4168450574,27.686598360655726,50.804,122
1551,0.4220223279,27.686598360655726,50.804,122
1550,0.4153733525,27.686598360655726,50.804,122
1549,0.4082059918,27.686598360655726,50.804,122
1548,0.4083108033,27.686598360655726,50.804,122
1547,0.4145666311,27.686598360655726,50.804,122
1546,0.4147097705,27.678606557377037,50.804,122
1545,0.4042351311,27.678606557377037,50.804,122
1544,0.4064611475,27.678606557377037,50.804,122
1543,0.4020372705,27.678606557377037,50.804,122
1542,0.3973449918,27.678606557377037,50.804,122
1541,0.4109443115,27.678606557377037,50.804,122
1540,0.4004519672,27.67835245901638,50.804,122
1539,0.4079783934,27.67835245901638,50.804,122
1538,0.4161372951,27.678147540983595,50.804,122
1537,0.4224417295,27.678147540983595,50.804,122
1536,0.4226925410,27.678147540983595,50.804,122
1535,0.4227117213,27.678147540983595,50.804,122
